date,temp_avg,temp_max,temp_min,humidity,rainfall,wind_speed,sunshine_hours,ground_temp,pm10,pm25,o3,no2,co,so2,temp_range,temp_change,humidity_change,humidity_std3,rainfall_7d,rh_over_60,temp_over_20,rh60_days_7,rh60_days_28,rh75,rh95,rh75_days_7,rh75_days_28,rh95_days_7,rh95_days_28,rh75_consecutive_days,rh95_consecutive_days,wood_mold_condition,wood_mold_days_7,wood_mold_days_28,rh70_metal,rh70_days_7,rh70_days_28,rh70_consecutive_days,metal_so2_humidity,pm_total,pm_load_3d,pm_load_7d,so2_ma7,no2_ma7,o3_ma7,month,season,year,display_season
2019-02-01,-0.3,5.1,-5.2,44.3,0.0,4.0,8.5,0.3,34.0,14.0,0.032,0.01,0.5,0.004,10.3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,48.0,48.0,48.0,0.004,0.01,0.032,2,겨울,2019,4. 겨울 (12~2월)
2019-02-02,2.5,9.1,-2.5,51.8,0.0,2.0,8.7,2.2,52.0,30.0,0.027,0.023,0.6,0.004,11.6,2.8,7.5,5.303300858899107,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,82.0,130.0,130.0,0.004,0.0165,0.0295,2,겨울,2019,4. 겨울 (12~2월)
2019-02-03,5.3,8.6,1.3,87.5,4.5,1.5,0.0,4.5,43.0,37.0,0.015,0.022,0.8,0.003,7.3,2.8,35.7,23.083110708914433,4.5,1,0,1.0,1.0,1,0,1.0,1.0,0.0,0.0,1,0,0,0.0,0.0,1,1.0,1.0,1,0.003,80.0,210.0,210.0,0.0036666666666666666,0.018333333333333333,0.024666666666666667,2,겨울,2019,4. 겨울 (12~2월)
2019-02-04,3.4,8.8,-2.7,32.9,0.0,3.5,8.6,2.9,82.0,29.0,0.034,0.012,0.6,0.003,11.5,1.9,54.6,27.727423248473702,4.5,0,0,1.0,1.0,0,0,1.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,1.0,0,0.0,111.0,273.0,321.0,0.0035,0.01675,0.027,2,겨울,2019,4. 겨울 (12~2월)
2019-02-05,1.6,12.1,-7.0,46.6,0.0,0.7,8.6,2.4,84.0,29.0,0.018,0.025,0.7,0.004,19.1,1.7999999999999998,13.700000000000003,28.40674802460382,4.5,0,0,1.0,1.0,0,0,1.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,1.0,0,0.0,113.0,304.0,434.0,0.0036000000000000003,0.0184,0.0252,2,겨울,2019,4. 겨울 (12~2월)
2019-02-06,4.9,14.8,-4.0,44.9,0.0,0.8,8.1,4.2,74.0,33.0,0.019,0.026,0.8,0.004,18.8,3.3000000000000003,1.7000000000000028,7.46748507419551,4.5,0,0,1.0,1.0,0,0,1.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,1.0,0,0.0,107.0,331.0,541.0,0.0036666666666666666,0.019666666666666666,0.024166666666666666,2,겨울,2019,4. 겨울 (12~2월)
2019-02-07,3.0,8.9,-2.2,43.6,0.0,2.7,5.0,2.8,62.0,35.0,0.024,0.02,0.8,0.004,11.100000000000001,1.9000000000000004,1.2999999999999972,1.5044378795193962,4.5,0,0,1.0,1.0,0,0,1.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,1.0,0,0.0,97.0,317.0,638.0,0.0037142857142857147,0.019714285714285715,0.02414285714285714,2,겨울,2019,4. 겨울 (12~2월)
2019-02-08,-0.5,6.1,-4.6,33.8,0.0,1.7,7.5,2.4,27.0,14.0,0.028,0.02,0.6,0.003,10.7,3.5,9.800000000000004,6.068223243531234,4.5,0,0,1.0,1.0,0,0,1.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,1.0,0,0.0,41.0,245.0,631.0,0.0035714285714285718,0.02114285714285714,0.023571428571428573,2,겨울,2019,4. 겨울 (12~2월)
2019-02-09,0.0,4.0,-2.4,23.3,0.0,3.1,8.6,2.2,32.0,14.0,0.03,0.016,0.6,0.003,6.4,0.5,10.499999999999996,10.152011294976607,4.5,0,0,1.0,1.0,0,0,1.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,1.0,0,0.0,46.0,184.0,595.0,0.003428571428571429,0.020142857142857146,0.024,2,겨울,2019,4. 겨울 (12~2월)
2019-02-10,0.9,5.8,-4.7,34.1,0.0,1.4,2.8,2.3,33.0,18.0,0.028,0.017,0.7,0.004,10.5,0.9,10.8,6.1506097258726475,0.0,0,0,0.0,1.0,0,0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,1.0,0,0.0,51.0,138.0,566.0,0.0035714285714285718,0.01942857142857143,0.025857142857142856,2,겨울,2019,4. 겨울 (12~2월)
