date,temp_avg,temp_max,temp_min,humidity,rainfall,wind_speed,sunshine_hours,ground_temp,pm10,pm25,o3,no2,co,so2,temp_range,temp_change,humidity_change,humidity_std3,rainfall_7d,rh_over_60,temp_over_20,rh60_days_7,rh60_days_28,rh75,rh95,rh75_days_7,rh75_days_28,rh95_days_7,rh95_days_28,rh75_consecutive_days,rh95_consecutive_days,wood_mold_condition,wood_mold_days_7,wood_mold_days_28,rh70_metal,rh70_days_7,rh70_days_28,rh70_consecutive_days,metal_so2_humidity,pm_total,pm_load_3d,pm_load_7d,so2_ma7,no2_ma7,o3_ma7,month,season
2026-08-12,23.3,28.2,17.2,73.5,0.0,1.5,4.5,26.9,9.0,5.0,0.0225,0.006500000000000001,0.25,0.0025,11.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,1.0,1.0,1,0.0025,14.0,14.0,14.0,0.0025,0.006500000000000001,0.0225,8,여름
2026-08-13,25.3,31.1,20.4,76.5,0.6,1.2,4.3,28.5,11.5,6.5,0.018500000000000003,0.0075,0.3,0.0025,10.700000000000003,2.0,3.0,2.1213203435596424,0.6,1,1,2.0,2.0,1,0,1.0,1.0,0.0,0.0,1,0,1,1.0,1.0,1,2.0,2.0,2,0.0025,18.0,32.0,32.0,0.0025,0.007,0.0205,8,여름
2026-08-14,27.2,34.3,21.2,70.9,0.0,1.4,8.4,32.1,17.0,9.5,0.03,0.0095,0.35,0.003,13.099999999999998,1.8999999999999986,5.599999999999994,2.8023799409311594,0.6,1,1,3.0,3.0,0,0,1.0,1.0,0.0,0.0,0,0,0,1.0,1.0,1,3.0,3.0,3,0.003,26.5,58.5,58.5,0.0026666666666666666,0.007833333333333333,0.02366666666666667,8,여름
2026-08-15,26.0,31.0,22.7,80.8,2.2,1.4,1.6,29.6,20.5,11.5,0.0245,0.0085,0.4,0.003,8.3,1.1999999999999993,9.899999999999991,4.96420520660994,2.8000000000000003,1,1,4.0,4.0,1,0,2.0,2.0,0.0,0.0,1,0,1,2.0,2.0,1,4.0,4.0,4,0.003,32.0,76.5,90.5,0.00275,0.008,0.023875,8,여름
2026-08-16,22.5,24.1,21.3,97.6,52.3,1.3,0.0,24.1,17.0,11.5,0.0225,0.0075,0.35,0.0025,2.8000000000000007,3.5,16.799999999999997,13.4977775948487,55.099999999999994,1,1,5.0,5.0,1,1,3.0,3.0,1.0,1.0,2,1,1,3.0,3.0,1,5.0,5.0,5,0.0025,28.5,87.0,119.0,0.0027,0.0079,0.0236,8,여름
2026-08-17,24.1,29.2,21.7,91.6,13.3,0.9,0.8,25.8,9.0,4.0,0.018000000000000002,0.0075,0.30000000000000004,0.0025,7.5,1.6000000000000014,6.0,8.51351866151707,68.39999999999999,1,1,6.0,6.0,1,0,4.0,4.0,1.0,1.0,3,0,1,4.0,4.0,1,6.0,6.0,6,0.0025,13.0,73.5,132.0,0.0026666666666666666,0.007833333333333333,0.02266666666666667,8,여름
2026-08-18,26.6,31.1,23.0,84.6,0.0,1.0,6.0,29.4,15.5,10.0,0.027999999999999997,0.006500000000000001,0.35,0.0025,8.100000000000001,2.5,7.0,6.506407098647662,68.39999999999999,1,1,7.0,7.0,1,0,5.0,5.0,1.0,1.0,4,0,1,5.0,5.0,1,7.0,7.0,7,0.0025,25.5,67.0,157.5,0.0026428571428571425,0.007642857142857143,0.02342857142857143,8,여름
2026-08-19,26.2,30.7,23.1,86.0,0.0,1.0,1.0,27.6,24.0,15.5,0.025500000000000002,0.008,0.4,0.0025,7.599999999999998,0.40000000000000213,1.4000000000000057,3.704051835490369,68.39999999999999,1,1,7.0,8.0,1,0,6.0,6.0,1.0,1.0,5,0,1,6.0,6.0,1,7.0,8.0,8,0.0025,39.5,78.0,183.0,0.0026428571428571434,0.007857142857142858,0.023857142857142858,8,여름
2026-08-20,27.0,32.2,23.6,82.3,0.0,1.0,4.9,28.5,28.0,18.0,0.0275,0.010499999999999999,0.45,0.0035,8.600000000000001,0.8000000000000007,3.700000000000003,1.8681541692268953,67.8,1,1,7.0,9.0,1,0,6.0,7.0,1.0,1.0,6,0,1,6.0,7.0,1,7.0,9.0,9,0.0035,46.0,111.0,211.0,0.002785714285714286,0.008285714285714287,0.02514285714285714,8,여름
2026-08-21,25.8,32.1,23.1,87.8,2.5,1.1,4.1,28.1,26.0,15.5,0.017,0.009999999999999998,0.5,0.003,9.0,1.1999999999999993,5.5,2.8041635710730373,70.3,1,1,7.0,10.0,1,0,7.0,8.0,1.0,1.0,7,0,1,7.0,8.0,1,7.0,10.0,10,0.003,41.5,127.0,226.0,0.002785714285714286,0.008357142857142856,0.023285714285714288,8,여름
