Feature,Importance
rh70_consecutive_days,0.25531719494409627
wood_mold_days_28,0.14747926768564668
rh75_consecutive_days,0.07189737216092816
rh70_days_28,0.06457381100294055
material_기타,0.06454387209830152
rh60_days_28,0.05783576437237027
material_석조,0.05561800701768883
temp_avg,0.043476275690427925
material_회화,0.041590797532220274
material_금속,0.04026768591342804
exposure_실내,0.032616189238029884
wood_mold_days_7,0.0325489006662642
temp_over_20,0.018038551345526666
humidity_change,0.015917571223555665
rh70_days_7,0.011402974162867282
exposure_실외,0.009029535965606805
material_목조,0.008854126729142498
rh75_days_28,0.007743612347270664
temp_change,0.004956051684430128
so2,0.004646108223331095
metal_so2_humidity,0.003592110657928916
temp_min,0.003473991584394372
pm_load_7d,0.0016705268740125848
ground_temp,0.0006286769359405684
exposure_반실외,0.0004354709992308601
o3_ma7,0.0004058408448123851
rainfall_7d,0.0002760597058219532
co,0.00022823732432984204
humidity,0.00017653573080520895
season_여름,0.00015595417306161824
rh95_days_28,0.00010972098031224237
temp_range,8.642093799945955e-05
month,6.516316047162131e-05
pm10,6.247882955846459e-05
no2_ma7,5.635172456477524e-05
so2_ma7,4.243095154058794e-05
temp_max,4.029009894340751e-05
rh70_metal,3.635845375336685e-05
humidity_std3,2.7229163631288877e-05
o3,2.7172818126268077e-05
pm25,2.4563493688976647e-05
no2,1.5615479844201878e-05
pm_total,7.653247500623692e-06
rh95_days_7,1.475825653003443e-06
rh75,0.0
rh60_days_7,0.0
rh_over_60,0.0
rainfall,0.0
wind_speed,0.0
sunshine_hours,0.0
rh75_days_7,0.0
rh95,0.0
wood_mold_condition,0.0
rh95_consecutive_days,0.0
pm_load_3d,0.0
season_가을,0.0
season_겨울,0.0
season_봄,0.0
